Index,t-statistic,p-value
ETF_Attention_Index,0.17021780077974608,0.8663572479373723
Stock_Attention_Index,0.26000951779862536,0.7968661261495416
Dividend_Attention_Index,1.1973000285122053,0.25065604201624314
Beginner_Attention_Index,2.334941175349728,0.03209986284648592
Macro_Attention_Index,-0.755363601846945,0.4663523542069157
Tech_Attention_Index,0.33701876787045204,0.740802550744655
